     Pclass  Sex    Age  Siblings/Spouses Aboard  Parents/Children Aboard      Fare                                                                             values  targets
76      3.0  1.0  28.00                      0.0                      0.0    8.0500                                                            Mr. Rahamin Haim Moutal        0
52      2.0  0.0  29.00                      1.0                      0.0   26.0000                                  Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe        1
146     3.0  0.0   9.00                      2.0                      2.0   34.3750                                                           Miss. Robina Maggie Ford        0
829     3.0  1.0  23.00                      0.0                      0.0    7.8542                                                              Mr. Albert Augustsson        0
466     3.0  0.0   0.75                      2.0                      1.0   19.2583                                                       Miss. Helene Barbara Baclini        1
657     1.0  1.0  50.00                      2.0                      0.0  133.6500                                                       Dr. Henry William Frauenthal        1
217     1.0  0.0  32.00                      0.0                      0.0   76.2917                                                               Miss. Albina Bazzani        1
460     2.0  1.0  48.00                      0.0                      0.0   13.0000                                                        Mr. Jacob Christian Milling        0
738     1.0  0.0  21.00                      2.0                      2.0  262.3750                                                         Miss. Susan Parker Ryerson        1
61      1.0  1.0  45.00                      1.0                      0.0   83.4750                                                         Mr. Henry Birkhardt Harris        0
407     3.0  0.0   3.00                      3.0                      1.0   25.4667                                                                  Miss. Ida Lefebre        0
651     3.0  0.0  18.00                      0.0                      0.0    6.7500                                                               Miss. Hanora Hegarty        0
451     3.0  1.0  24.00                      0.0                      0.0    8.0500                                                                 Mr. Joseph Peduzzi        0
578     1.0  0.0  39.00                      1.0                      1.0  110.8833                                Mrs. John Borland (Marian Longstreth Morris) Thayer        1
195     3.0  1.0  28.00                      0.0                      0.0    7.7500                                                                 Mr. Robert Mernagh        0
445     3.0  0.0   5.00                      2.0                      1.0   19.2583                                                      Miss. Marie Catherine Baclini        1
777     1.0  0.0  17.00                      1.0                      0.0   57.0000                                           Mrs. Albert Adrian (Vera Gillespie) Dick        1
252     3.0  1.0  30.00                      1.0                      0.0   16.1000                                                            Mr. William Arthur Lobb        0
395     2.0  1.0  46.00                      0.0                      0.0   26.0000                                                             Mr. Peter David McKane        0
48      3.0  0.0  18.00                      1.0                      0.0   17.8000                                       Mrs. Josef (Josefine Franchi) Arnold-Franchi        0
581     3.0  1.0  16.00                      0.0                      0.0    8.7125                                                                 Mr. Uscher Paulner        0
96      1.0  1.0  23.00                      0.0                      1.0   63.3583                                                     Mr. William Bertram Greenfield        1
305     1.0  0.0  17.00                      1.0                      0.0  108.9000  Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana        1
401     3.0  1.0  28.00                      1.0                      0.0   15.8500                                                      Mr. Pekka Pietari Hakkarainen        0
224     3.0  1.0  22.00                      0.0                      0.0    9.3500                                                        Mr. Karl Ivar Sven Berglund        0
476     3.0  0.0   2.00                      0.0                      1.0   12.2875                                                            Miss. Hildur E Hirvonen        1
623     2.0  1.0  57.00                      0.0                      0.0   12.3500                                                      Rev. Charles Leonard Kirkland        0
583     2.0  1.0  47.00                      0.0                      0.0   15.0000                                                             Mr. John Denzil Jarvis        0
274     3.0  0.0  45.00                      0.0                      0.0    7.7500                                                   Miss. Augusta Charlotta Lindblom        0
690     3.0  1.0  25.00                      0.0                      0.0    7.2250                                                                    Mr. Khalil Saad        0
380     3.0  1.0  32.00                      0.0                      0.0    7.9250                                                                  Mr. Juho Tikkanen        0
768     2.0  0.0  57.00                      0.0                      0.0   10.5000                                                                   Mrs. (Mary) Mack        0
0       3.0  1.0  22.00                      1.0                      0.0    7.2500                                                             Mr. Owen Harris Braund        0
92      3.0  1.0  26.00                      1.0                      2.0   20.5750                                                             Mr. Bertram Frank Dean        0
515     2.0  0.0  36.00                      1.0                      0.0   26.0000                                       Mrs. William A (Florence Agnes Hughes) Angle        1
860     2.0  1.0  24.00                      0.0                      0.0   13.0000                                                              Mr. John William Gill        0
776     3.0  0.0  13.00                      0.0                      0.0    7.2292                                                                Miss. Banoura Ayoub        1
192     2.0  1.0   3.00                      1.0                      1.0   26.0000                                                          Master. Michel M Navratil        1
310     2.0  0.0  26.00                      1.0                      1.0   26.0000                                               Mrs. William (Anna Sylfven) Lahtinen        0
629     1.0  1.0  32.00                      0.0                      0.0   30.5000                                                           Dr. Max Stahelin-Maeglin        1
203     3.0  1.0  18.00                      0.0                      0.0    8.0500                                                                  Mr. Gurshon Cohen        1
558     3.0  1.0  40.00                      0.0                      0.0    7.8958                                                                   Mr. Husein Sivic        0
492     3.0  1.0  26.00                      0.0                      0.0   14.4583                                                               Mr. Gerious Yousseff        0
669     2.0  1.0  70.00                      0.0                      0.0   10.5000                                                         Mr. Henry Michael Mitchell        0
378     1.0  0.0  42.00                      0.0                      0.0  227.5250                                                               Miss. Rosalie Bidois        1
330     1.0  1.0  38.00                      0.0                      1.0  153.4625                                                           Mr. George Edward Graham        0
408     3.0  1.0  42.00                      0.0                      0.0    7.8958                                                                  Mr. Todor Sdycoff        0
374     3.0  0.0  22.00                      0.0                      0.0    7.2500                                                     Miss. Aurora Adelia Landergren        1
290     2.0  1.0  36.00                      0.0                      0.0   12.8750                                                              Mr. Rene Jacques Levy        0
145     3.0  1.0  27.00                      0.0                      0.0    7.7958                                                        Mr. August Edvard Andersson        1
490     1.0  1.0  71.00                      0.0                      0.0   49.5042                                                             Mr. Ramon Artagaveytia        0
555     1.0  0.0  39.00                      1.0                      1.0   79.6500                                              Mrs. Emil (Tillie Mandelbaum) Taussig        1
296     1.0  1.0  47.00                      0.0                      0.0   30.5000                                                               Mr. Adolphe Saalfeld        1
822     3.0  1.0  23.00                      0.0                      0.0   56.4958                                                                        Mr. Len Lam        0
598     3.0  1.0  42.00                      0.0                      0.0    7.8958                                                                Mr. Petco Slabenoff        0
855     3.0  1.0  30.00                      0.0                      0.0    7.2292                                                                    Mr. Raihed Razi        0
165     1.0  0.0  48.00                      0.0                      1.0   55.0000                                              Mrs. (Edith Martha Bowerman) Chibnall        1
552     1.0  1.0  62.00                      0.0                      0.0   26.5500                                                                  Mr. George Wright        0
765     3.0  1.0  32.00                      0.0                      0.0    8.3625                                                    Mr. Daniel Danielsen Gronnestad        0
472     1.0  1.0  40.00                      0.0                      0.0   52.0000                                                         Mr. George Quincy Clifford        0
356     3.0  0.0  22.00                      0.0                      0.0    7.8792                                                                Miss. Mary McGovern        1
335     1.0  0.0  41.00                      0.0                      0.0  134.5000                                                     Miss. Elizabeth Margaret Burns        1
807     3.0  1.0  39.00                      0.0                      0.0   24.1500                                                                   Mr. James Lester        0
456     3.0  1.0  17.00                      0.0                      0.0    7.7500                                                               Mr. Maurice O'Connor        0
30      1.0  1.0  40.00                      0.0                      0.0   27.7208                                                            Don. Manuel E Uruchurtu        0
679     3.0  1.0  20.00                      0.0                      0.0    9.2250                                                         Mr. Thor Anderson Olsvigen        0
85      3.0  1.0  16.00                      1.0                      3.0   34.3750                                                              Mr. William Neal Ford        0
338     2.0  1.0   2.00                      1.0                      1.0   26.0000                                                      Master. Edmond Roger Navratil        1
62      3.0  1.0   4.00                      3.0                      2.0   27.9000                                                               Master. Harald Skoog        0
63      1.0  1.0  64.00                      0.0                      0.0   27.7208                                                               Mr. Albert A Stewart        0
29      3.0  1.0  23.00                      0.0                      0.0    7.8958                                                                 Mr. Lalio Todoroff        0
117     1.0  1.0  24.00                      0.0                      1.0  247.5208                                                            Mr. Quigg Edmond Baxter        0
122     2.0  0.0  32.50                      0.0                      0.0   13.0000                                                                 Miss. Susan Webber        1
181     3.0  1.0   9.00                      4.0                      2.0   31.3875                                               Master. Clarence Gustaf Hugo Asplund        0
704     1.0  1.0  42.00                      0.0                      0.0   26.2875                                                   Mr. Edward Pennington Calderhead        1
367     1.0  0.0  24.00                      0.0                      0.0   69.3000                                                       Mme. Leontine Pauline Aubart        1
804     2.0  1.0  39.00                      0.0                      0.0   13.0000                                                                   Mr. August Meyer        0
544     2.0  1.0  27.00                      0.0                      0.0   13.8625                                                          Mr. Julian Padro y Manent        1
806     3.0  1.0  26.00                      0.0                      0.0    7.8875                                                              Mr. William Alexander        0
504     1.0  1.0  37.00                      0.0                      0.0   26.5500                                                                 Mr. George Bradley        1
137     3.0  1.0  16.00                      0.0                      0.0    9.2167                                                                 Mr. Olaf Elon Osen        0
167     1.0  1.0  60.00                      0.0                      0.0   25.9250                                                                 Mr. John D Baumann        0
68      3.0  1.0  26.00                      2.0                      0.0    8.6625                                                                   Mr. Vincenz Kink        0
724     2.0  1.0  25.00                      1.0                      0.0   26.0000                                                     Mr. Kurt Arnold Gottfrid Bryhl        0
617     3.0  1.0  27.00                      1.0                      0.0   14.4542                                                                 Mr. Antoni Yasbeck        0
464     1.0  1.0  56.00                      0.0                      0.0   26.5500                                                          Mr. John Montgomery Smart        0
452     3.0  1.0  29.00                      0.0                      0.0    7.8958                                                                  Mr. Ivan Jalsevac        1
438     3.0  1.0  20.00                      0.0                      0.0    9.5000                                                                     Mr. Leon Hampe        0
736     1.0  1.0  45.00                      0.0                      0.0   30.0000                                                         Mr. Walter James Hawksford        1
778     1.0  1.0  29.00                      0.0                      0.0   30.0000                                                              Mr. Milton Clyde Long        0
82      1.0  1.0  28.00                      0.0                      0.0   47.1000                                                             Mr. Francisco M Carrau        0
462     3.0  1.0  38.00                      0.0                      0.0    7.0500                                                     Mr. Manuel Estanslas Goncalves        0
201     3.0  1.0  34.00                      0.0                      0.0    6.4958                                                          Mr. Jakob Alfred Johanson        0
21      2.0  1.0  34.00                      0.0                      0.0   13.0000                                                               Mr. Lawrence Beesley        1
820     3.0  1.0   2.00                      4.0                      1.0   39.6875                                                        Master. Urho Abraham Panula        0
207     3.0  0.0  16.00                      0.0                      0.0    7.7500                                                                   Miss. Helen Carr        1
326     3.0  0.0  31.00                      1.0                      1.0   20.5250                                      Mrs. Frank John (Emily Alice Brown) Goldsmith        1
184     1.0  1.0  39.00                      0.0                      0.0   50.0000                                                               Mr. Hugh Roscoe Rood        0
794     3.0  1.0  30.00                      0.0                      0.0    7.2292                                                        Mr. Yousseff Ibrahim Shawah        0
273     1.0  0.0  63.00                      1.0                      0.0   77.9583                                                   Miss. Kornelia Theodosia Andrews        1
121     2.0  1.0  32.50                      1.0                      0.0   30.0708                                                                Mr. Nicholas Nasser        0
443     2.0  0.0  13.00                      0.0                      1.0   19.5000                                                   Miss. Madeleine Violet Mellinger        1
426     3.0  1.0  32.00                      0.0                      0.0    8.0500                                                  Mr. Berk (Berk Trembisky) Pickard        1
54      1.0  1.0  46.00                      0.0                      0.0   35.5000                                                                   Mr. Hugh Woolner        1
417     3.0  0.0  10.00                      0.0                      2.0   24.1500                                                           Miss. Catharina Van Impe        0
863     1.0  1.0  31.00                      0.0                      0.0   50.4958                                                Mr. Washington Augustus II Roebling        0
24      3.0  0.0   8.00                      3.0                      1.0   21.0750                                                       Miss. Torborg Danira Palsson        0
795     3.0  0.0  30.00                      1.0                      1.0   24.1500                                Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe        0
147     2.0  1.0  36.50                      0.0                      2.0   26.0000                                                                Mr. Michel Navratil        0
618     1.0  1.0  42.00                      1.0                      0.0   52.5542                                                        Mr. Edwin Nelson Jr Kimball        1
845     1.0  0.0  40.00                      1.0                      0.0   89.1042                                        Mrs. Samuel L (Edwiga Grabowska) Goldenberg        1
450     1.0  1.0  49.00                      1.0                      0.0   89.1042                                                            Mr. Samuel L Goldenberg        1
861     2.0  0.0  42.00                      0.0                      0.0   13.0000                                                            Mrs. (Karolina) Bystrom        1
625     3.0  1.0  26.00                      0.0                      0.0    7.8958                                                           Mr. Guentcho Bostandyeff        0
611     3.0  1.0  35.00                      0.0                      0.0    8.0500                                                     Mr. William Alfred Brocklebank        0
320     2.0  0.0  30.00                      0.0                      0.0   12.3500                                                           Miss. Hilda Mary Slayter        1
288     1.0  0.0  26.00                      0.0                      0.0   78.8500                                                                 Miss. Ellen Barber        1
620     3.0  1.0  21.00                      0.0                      0.0    7.8542                                                         Mr. Henry Damsgaard Hansen        0
40      3.0  0.0  40.00                      1.0                      0.0    9.4750                                      Mrs. Johan (Johanna Persdotter Larsson) Ahlin        0
695     1.0  1.0  49.00                      1.0                      1.0  110.8833                                                            Mr. John Borland Thayer        0
764     3.0  1.0  28.00                      1.0                      0.0   24.1500                                                                 Mr. Daniel J Moran        0
152     3.0  1.0  40.50                      0.0                      2.0   14.5000                                                     Mr. Austin Blyler van Billiard        0
329     1.0  1.0  45.50                      0.0                      0.0   28.5000                                                                 Mr. Austen Partner        0
234     3.0  0.0  21.00                      0.0                      0.0    7.5500                                                        Miss. Alice Phoebe Harknett        0
223     1.0  1.0  38.00                      1.0                      0.0   90.0000                                                        Mr. Frederick Maxfield Hoyt        1
858     1.0  0.0  48.00                      0.0                      0.0   25.9292                                 Mrs. Frederick Joel (Margaret Welles Barron) Swift        1
418     3.0  1.0  21.00                      0.0                      0.0    7.7333                                                                 Mr. David Charters        0
381     1.0  0.0  35.00                      1.0                      0.0   52.0000                                 Mrs. Alexander Oskar (Mary Aline Towner) Holverson        1
703     2.0  0.0  45.00                      0.0                      0.0   13.5000                                                                Mrs. Florence Kelly        1
793     3.0  0.0  31.00                      0.0                      0.0    8.6833                                                                    Mrs. Mara Osman        1
260     1.0  1.0  52.00                      1.0                      1.0   79.6500                                                                   Mr. Emil Taussig        0
216     2.0  1.0  42.00                      1.0                      0.0   27.0000                                                        Mr. Sidney Samuel Jacobsohn        0
691     1.0  1.0  60.00                      0.0                      0.0   26.5500                                                                     Col. John Weir        0
573     2.0  0.0  34.00                      0.0                      0.0   13.0000                                                                Miss. Ethel Garside        1
471     3.0  0.0  22.00                      0.0                      0.0    9.8375                                                         Miss. Ida Sofia Strandberg        0
200     3.0  1.0  17.00                      8.0                      2.0   69.5500                                                                 Mr. Frederick Sage        0
209     3.0  1.0  24.00                      0.0                      0.0    7.0500                                                                      Mr. Ahmed Ali        0
868     1.0  1.0  33.00                      0.0                      0.0    5.0000                                                            Mr. Frans Olof Carlsson        0
323     1.0  0.0  36.00                      0.0                      0.0  135.6333                                                            Miss. Marie Grice Young        1
388     1.0  1.0  36.00                      1.0                      2.0  120.0000                                                          Mr. William Ernest Carter        1
346     3.0  1.0   3.00                      1.0                      1.0   15.9000                                                        Master. William Loch Coutts        1
309     1.0  0.0  18.00                      2.0                      2.0  262.3750                                                          Miss. Emily Borie Ryerson        1
609     3.0  0.0  18.00                      1.0                      0.0   15.5000                                                         Miss. Margaret Jane Murphy        1
275     2.0  1.0  21.00                      0.0                      0.0    0.0000                                                                 Mr. Francis Parkes        0
585     3.0  1.0  22.00                      0.0                      0.0    8.0500                                                               Mr. Eliezer Gilinski        0
16      3.0  1.0   2.00                      4.0                      1.0   29.1250                                                                Master. Eugene Rice        0
41      2.0  0.0  27.00                      1.0                      0.0   21.0000                            Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin        0
239     3.0  0.0  19.00                      1.0                      0.0   14.4542                                                               Miss. Thamine Zabour        0
554     1.0  1.0  45.00                      0.0                      0.0  227.5250                                                                 Mr. Victor Robbins        0
406     3.0  1.0  21.00                      0.0                      0.0    7.7750                                                   Mr. Hans Martin Monsen Birkeland        0
304     1.0  0.0  42.00                      0.0                      0.0  110.8833                                                             Miss. Margaret Fleming        1
588     1.0  0.0  52.00                      1.0                      0.0   78.2667                                     Mrs. Walter Bertram (Martha Eustis) Stephenson        1
836     3.0  1.0  20.00                      0.0                      0.0    7.9250                                                         Mr. Ilmari Rudolf Alhomaki        0
105     3.0  0.0  21.00                      0.0                      0.0    7.6500                                                    Miss. Anna Kristine Salkjelsvik        1
47      3.0  1.0  16.00                      2.0                      0.0   21.6792                                                                 Mr. Youssef Samaan        0
170     3.0  1.0   4.00                      4.0                      1.0   29.1250                                                                Master. Arthur Rice        0
687     1.0  1.0  31.00                      1.0                      0.0   57.0000                                                             Mr. Albert Adrian Dick        1
354     1.0  0.0  22.00                      0.0                      1.0   55.0000                                                         Miss. Elsie Edith Bowerman        1
64      3.0  1.0   7.00                      1.0                      1.0   15.2458                                                            Master. Gerios Moubarek        1
127     3.0  0.0   2.00                      1.0                      1.0   22.3583                                                                   Miss. Anna Peter        1
10      3.0  0.0   4.00                      1.0                      1.0   16.7000                                                     Miss. Marguerite Rut Sandstrom        1
721     3.0  1.0  20.00                      0.0                      0.0    8.6625                                                                 Mr. Luka Oreskovic        0
658     3.0  1.0  40.00                      0.0                      0.0    7.2250                                                                   Mr. Mohamed Badt        0
790     3.0  1.0  25.00                      0.0                      0.0    7.8958                                                               Mr. Ristiu Dantcheff        0
226     3.0  1.0  20.50                      0.0                      0.0    7.2500                                                               Mr. John Hall Lovell        0
705     1.0  0.0  22.00                      0.0                      0.0  151.5500                                                                Miss. Alice Cleaver        1
230     3.0  1.0  29.00                      0.0                      0.0    7.7750                                                            Mr. Bengt Edvin Larsson        0
628     3.0  1.0  51.00                      0.0                      0.0    7.0542                                                         Mr. Johan Svensson Lundahl        0
267     1.0  0.0  35.00                      0.0                      0.0  135.6333                                                              Miss. Amelia Bissette        1
732     3.0  0.0  48.00                      1.0                      3.0   34.3750                                             Mrs. Edward (Margaret Ann Watson) Ford        0
693     3.0  1.0  44.00                      0.0                      0.0    8.0500                                                                    Mr. James Kelly        0
23      1.0  1.0  28.00                      0.0                      0.0   35.5000                                                        Mr. William Thompson Sloper        1
174     3.0  1.0  18.00                      1.0                      1.0    7.8542                                                              Mr. Klas Albin Klasen        0
643     3.0  1.0  19.00                      0.0                      0.0    7.8958                                                                   Mr. Liudevit Cor        0
20      2.0  1.0  35.00                      0.0                      0.0   26.0000                                                                Mr. Joseph J Fynney        0
527     2.0  0.0   2.00                      1.0                      1.0   26.0000                                                            Miss. Phyllis May Quick        1
717     3.0  1.0  17.00                      1.0                      0.0    7.0542                                                           Mr. Svend Lauritz Jensen        0
11      1.0  0.0  58.00                      0.0                      0.0   26.5500                                                            Miss. Elizabeth Bonnell        1
813     2.0  1.0  31.00                      1.0                      1.0   37.0042                                                                  Mr. Albert Mallet        0
398     3.0  1.0  39.00                      0.0                      0.0    7.9250                                                                  Mr. Juha Niskanen        1
91      1.0  1.0  46.00                      1.0                      0.0   61.1750                                                         Mr. Herbert Fuller Chaffee        0
25      3.0  0.0  38.00                      1.0                      5.0   31.3875                           Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund        1
361     3.0  1.0  35.00                      0.0                      0.0    7.0500                                                                     Mr. Adola Asim        0
664     3.0  1.0  49.00                      0.0                      0.0    7.7750                                                          Mr. Knud Paust Rommetvedt        0
109     1.0  1.0  47.00                      0.0                      0.0   52.0000                                                      Mr. Walter Chamberlain Porter        0
848     3.0  0.0   9.00                      1.0                      1.0   15.2458                                                             Miss. Nourelain Boulos        0
212     2.0  1.0  30.00                      0.0                      0.0   13.0000                                                         Mr. Hans Kristensen Givard        0
264     3.0  1.0  16.00                      4.0                      1.0   39.6875                                                           Mr. Ernesti Arvid Panula        0
419     3.0  1.0  29.00                      0.0                      0.0    7.8750                                                                  Mr. Leo Zimmerman        0
233     2.0  1.0  24.00                      0.0                      0.0   10.5000                                                   Mr. Robert William Norman Leyson        0
507     3.0  1.0  29.00                      0.0                      0.0    7.7500                                                            Mr. Eugene Patrick Daly        1
225     2.0  1.0  19.00                      0.0                      0.0   10.5000                                                           Mr. William John Mellors        1
538     3.0  0.0   9.00                      4.0                      2.0   31.2750                                                Miss. Ingeborg Constanzia Andersson        0
649     3.0  1.0  21.00                      0.0                      0.0    8.4333                                                      Mr. Johannes Halvorsen Kalvik        0
796     2.0  1.0  34.00                      0.0                      0.0   13.0000                                                                Mr. Martin Ponesell        0
285     3.0  1.0  22.00                      0.0                      0.0    7.8958                                                                Mr. Penko Naidenoff        0
132     2.0  0.0  29.00                      1.0                      0.0   26.0000                                       Mrs. Leopold (Mathilde Francoise Pede) Weisz        1
520     1.0  0.0  44.00                      0.0                      1.0   57.9792                                     Mrs. Louis Albert (Ida Sophia Fischer) Hippach        1
